ID,Salary,DOJ,DOL,Designation,JobCity,Gender,10percentage,10board,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Dyear,12gyear,gyear,12GradAge,GradAge
140069,320000,2010-11-01,2012-09-01 00:00:00,software engineer,Bangalore,f,91.2,karnataka secondary school of examination,84.63,state,4437,2,B.Tech/B.E.,CS,78.15,4437,1.0,Karnataka,455,535,445,0.635978756456794,445.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.1082,0.9688,0.5269,-0.2902,0.3444,1988,1970,1970,18,18
339689,200000,2012-08-01,2013-12-01 00:00:00,software engineer,,f,75.67,up,74.4,state,11368,2,B.Tech/B.E.,CS,74.01,11368,1.0,Uttar Pradesh,385,555,445,0.635978756456794,445.0,333.0,407.0,407.0,433.0,356.0,348.0,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,1991,1970,1970,21,21
995191,190000,2013-10-01,2015-04-01 00:00:00,developer,Hyderabad,m,92.5,state board,95.2,state,8232,2,B.Tech/B.E.,EC,76.0,8232,1.0,Telangana,395,455,485,0.649389714846691,455.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,1992,1970,1970,22,22
990077,180000,2014-08-01,2015-04-01 00:00:00,electrical project engineer,Bangalore,m,70.0,state board,43.42,state,11388,2,B.Tech/B.E.,EC,55.52,11388,1.0,Karnataka,370,360,270,0.649389714846691,455.0,356.0,407.0,407.0,433.0,356.0,348.0,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,1986,1970,1970,16,16
963123,335000,2014-06-01,2015-06-01 00:00:00,programmer analyst,Hyderabad,m,88.0,state board,90.0,state,9173,2,B.Tech/B.E.,CS,76.0,9173,1.0,Telangana,625,555,630,0.356536487724475,475.0,333.0,346.0,407.0,433.0,356.0,348.0,0.4155,0.8027,0.1357,-0.995,-0.6692,1993,1970,1970,23,23
350211,435000,2012-09-01,present,systems analyst,Gurgaon,f,86.8,cbse,82.8,cbse,9019,2,B.Tech/B.E.,CS,78.0,9019,1.0,Haryana,575,585,575,0.744758354008939,565.0,333.0,438.0,407.0,433.0,356.0,348.0,0.0464,1.2028,-0.9245,0.5323,-0.2875,1991,1970,1970,21,21
65096,345000,2011-01-01,2013-10-01 00:00:00,senior software engineer,Bangalore,m,90.88,karnataka state education examination board,82.5,state,124,2,B.Tech/B.E.,CS,66.15,124,1.0,Orissa,415,335,405,0.884122511593735,535.0,333.0,407.0,313.0,433.0,356.0,320.0,0.8192,0.1888,-1.7954,1.8249,1.1343,1988,1970,1970,18,18
810458,300000,2014-09-01,2015-01-01 00:00:00,ase,Bangalore,m,76.8,state board,83.0,state,64,2,B.Tech/B.E.,EC,76.44,64,1.0,Uttar Pradesh,535,510,605,0.881620069530177,455.0,420.0,407.0,407.0,433.0,356.0,348.0,0.99,1.3779,0.7785,-0.2344,-0.6692,1993,1970,1970,23,23
918981,145000,2015-02-01,2015-04-01 00:00:00,telecommunication engineer,Noida,m,84.0,cbse,68.0,cbse,76,2,B.Tech/B.E.,EC,72.0,76,1.0,Uttar Pradesh,580,570,385,0.207392169717661,335.0,260.0,407.0,407.0,433.0,313.0,348.0,0.1282,0.7119,1.3933,-0.3612,-0.0943,1994,1970,1970,24,24
472956,220000,2014-11-01,2014-04-01 00:00:00,java software engineer,Gurgaon,m,64.0,cbse,74.0,cbse,57,2,B.Tech/B.E.,CS,68.0,57,1.0,Haryana,485,375,435,0.486747008438193,345.0,333.0,376.0,407.0,433.0,356.0,348.0,-3.1994,-1.8393,0.0552,0.0623,-0.7615,1992,1970,1970,22,22
192703,530000,2011-12-01,present,systems engineer,Hyderabad,m,84.0,ssc,92.0,state,5003,2,B.Tech/B.E.,CS,77.2,5003,1.0,Andhra Pradesh,475,405,695,0.670743151433127,455.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,1989,1970,1970,19,19
1094324,340000,2014-08-01,2015-04-01 00:00:00,software engineer,Bangalore,m,77.2,state board,86.1,state,7282,2,B.Tech/B.E.,CS,71.0,7282,1.0,Tamil Nadu,560,485,450,0.622642915849938,485.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.0154,1.2114,1.0859,-1.5021,0.2889,1992,1970,1970,22,22
580616,360000,2013-10-01,present,application developer,Noida,f,87.0,cbse,84.4,cbse,8195,1,B.Tech/B.E.,CS,79.3,8195,1.0,Delhi,570,475,295,0.413838255788123,385.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,1991,1970,1970,21,21
1208010,145000,2014-10-01,present,ios developer,Kolkata,m,73.0,state board,68.4,state,8297,2,B.Tech/B.E.,CS,74.3,8297,1.0,West Bengal,560,530,605,0.911395278391328,445.0,333.0,500.0,407.0,433.0,356.0,348.0,-0.7335,0.5454,-0.7585,-0.6147,1.4386,1992,1970,1970,22,22
1073190,215000,2015-01-01,present,executive assistant,Bangalore,f,71.0,cbse,68.0,icse,7869,2,B.Tech/B.E.,CS,70.86,7869,1.0,Uttar Pradesh,430,510,405,0.356536487724475,465.0,333.0,346.0,407.0,433.0,356.0,348.0,1.5644,1.0449,0.3174,-1.8824,1.0554,1989,1970,1970,19,19
942679,350000,2014-03-01,present,online marketing manager,mohali,f,85.0,cbse,61.0,cbse,272,2,B.Tech/B.E.,EC,64.98,272,1.0,Punjab,570,475,430,0.649389714846691,455.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.4854,-0.5213,2.1129,-0.735,1.8224,1990,1970,1970,20,20
602377,270000,2013-03-01,present,software engineer,Hyderabad,f,91.5,state board,93.8,state,11509,1,B.Tech/B.E.,CS,74.1,11509,1.0,Telangana,380,535,530,0.525922584252055,415.0,333.0,407.0,407.0,433.0,356.0,348.0,-1.0208,0.2124,0.4711,0.2727,-0.0943,1992,1970,1970,22,22
922508,80000,2010-10-01,2015-04-01 00:00:00,documentation specialist,Gurgaon,m,77.0,cbse,85.4,cbse,272,2,B.Tech/B.E.,EC,63.9,272,1.0,Punjab,475,605,415,0.649389714846691,435.0,356.0,407.0,407.0,433.0,356.0,348.0,0.2718,0.5454,0.3174,-1.8824,-0.4776,1993,1970,1970,23,23
550371,330000,2014-01-01,present,associate software engineer,Bangalore,m,52.33,state board,67.0,state,44,2,MCA,CS,77.15,44,1.0,Uttar Pradesh,450,525,545,0.735795709224656,475.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.0154,1.2114,0.6248,0.7798,0.8637,1991,1970,1970,21,21
533417,200000,2013-01-01,2013-06-01 00:00:00,management trainee,,m,88.0,kerala state technical education,89.66,state,867,2,B.Tech/B.E.,EC,76.4,867,1.0,Kerala,510,640,635,0.124502074009537,455.0,233.0,407.0,407.0,433.0,356.0,348.0,0.3941,1.2808,0.2366,-2.1998,-0.4455,1991,1970,1970,21,21
245887,120000,2011-06-01,2012-03-01 00:00:00,site manager,Jhansi,m,66.6,cbse,68.6,state,105,2,B.Tech/B.E.,ME,60.22,105,1.0,Uttar Pradesh,425,595,475,0.130441735719574,455.0,333.0,407.0,286.0,433.0,356.0,348.0,-0.4173,0.3448,0.0914,-0.4078,0.6603,1989,1970,1970,19,19
955678,145000,2014-07-01,2014-09-01 00:00:00,software developer,Delhi,m,75.0,cbse,60.0,cbse,105,2,B.Tech/B.E.,CS,66.0,105,1.0,Uttar Pradesh,380,545,460,0.356536487724475,395.0,333.0,346.0,407.0,433.0,356.0,348.0,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,1992,1970,1970,22,22
895673,350000,2014-08-01,present,associate software engineer,Bangalore,m,91.4,icse,73.0,cbse,119,1,B.Tech/B.E.,CS,71.0,119,1.0,Uttar Pradesh,555,560,825,0.23780283983757,525.0,333.0,315.0,407.0,433.0,356.0,348.0,-0.0154,0.2578,-0.5349,-1.1218,-1.359,1991,1970,1970,21,21
1207660,120000,2014-04-01,2015-04-01 00:00:00,.net developer,Hyderabad ,m,59.0,state board,87.7,state,16150,2,B.Tech/B.E.,EC,71.04,16150,1.0,Telangana,300,340,355,0.112139438207403,155.0,228.0,407.0,407.0,433.0,356.0,348.0,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,1993,1970,1970,23,23
247617,380000,2012-05-01,2015-04-01 00:00:00,programmer analyst,Bangalore ,f,84.5,,82.5,,3461,2,B.Tech/B.E.,CS,92.1,3461,1.0,Karnataka,425,525,515,0.377551419424541,375.0,333.0,407.0,407.0,433.0,356.0,348.0,0.51,0.6568,-0.6343,0.2973,0.1864,1989,1970,1970,19,19
1230582,110000,2014-09-01,2015-01-01 00:00:00,production engineer,Chennai,m,95.8,state board,87.16,state,482,2,B.Tech/B.E.,ME,79.0,482,1.0,Tamil Nadu,430,395,500,0.0669607065028304,455.0,333.0,407.0,253.0,433.0,356.0,348.0,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,1992,1970,1970,22,22
592833,205000,2013-07-01,2015-04-01 00:00:00,jr. software engineer,noida,f,85.6,cbse,82.0,cbse,13094,2,B.Tech/B.E.,CS,74.01,13094,1.0,Haryana,370,495,455,0.0800552813405495,445.0,333.0,253.0,407.0,433.0,356.0,348.0,0.1282,0.5454,0.1637,-0.4879,0.8637,1991,1970,1970,21,21
434621,95000,2012-10-01,2013-10-01 00:00:00,software developer,delhi,m,69.6,bseb,71.4,state,3054,2,B.Tech/B.E.,CS,77.0,3054,1.0,Orissa,485,415,575,0.925645767094482,455.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.4173,0.6568,-0.7794,1.7074,0.1864,1992,1970,1970,22,22
338428,390000,2013-09-01,present,software engineer,Bangalore,m,86.6,cbse,75.0,cbse,11637,2,B.Tech/B.E.,CS,74.0,11637,1.0,Madhya Pradesh,505,545,565,0.356536487724475,475.0,333.0,346.0,407.0,433.0,356.0,348.0,-2.5039,0.0328,0.3817,0.26793,0.5024,1991,1970,1970,21,21
305559,270000,2012-05-01,2014-07-01 00:00:00,qa analyst,Bangalore,m,81.92,state board,61.46,state,1109,2,B.Tech/B.E.,CS,57.54,1109,1.0,Karnataka,565,465,415,0.843123726665742,515.0,333.0,407.0,407.0,433.0,356.0,348.0,1.2828,1.7488,1.8331,-2.2879,1.1343,1989,1970,1970,19,19
245337,60000,2011-06-01,2013-02-01 00:00:00,trainee software developer,Bhubaneswar,f,66.5,cbse,49.5,state,889,2,MCA,CS,89.7,889,1.0,Orissa,505,505,485,0.916869961103619,555.0,333.0,407.0,407.0,433.0,356.0,348.0,-1.0355,0.0328,-2.2308,1.0024,0.3444,1988,1970,1970,18,18
852310,120000,2015-02-01,present,ui developer,Hyderabad,m,80.0,state board,72.5,state,12867,2,B.Tech/B.E.,CS,57.8,12867,1.0,Andhra Pradesh,580,485,455,0.783303536670298,405.0,388.0,407.0,407.0,433.0,356.0,348.0,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,1991,1970,1970,21,21
794209,400000,2015-04-01,present,software engineer,Navi Mumbai,m,85.2,icse,81.5,icse,8350,2,B.Tech/B.E.,CS,57.64,8350,1.0,Uttar Pradesh,545,385,485,0.600057182338341,435.0,333.0,407.0,407.0,433.0,356.0,348.0,1.1336,0.3789,1.0859,0.653,0.2889,1992,1970,1970,22,22
1082717,350000,2014-09-01,present,assistant system engineer,Mumbai,m,89.25,state board,78.0,state,2066,2,B.Tech/B.E.,EL,80.0,2066,1.0,West Bengal,570,510,545,0.79293627759454,455.0,333.0,407.0,407.0,484.0,356.0,348.0,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,1991,1970,1970,21,21
764522,120000,2014-11-01,present,android developer,New Delhi,f,58.4,cbse,64.8,cbse,85,2,MCA,CS,80.0,85,1.0,Haryana,440,415,554,0.793580614548506,495.0,333.0,407.0,407.0,433.0,356.0,348.0,0.335,0.0924,-0.6582,-0.4821,-0.1543,1992,1970,1970,22,22
989860,250000,2014-08-01,present,software engineer,Mangalore,m,90.8,state board,90.1,state,12832,2,B.Tech/B.E.,CS,67.7,12832,1.0,Karnataka,525,530,595,0.486747008438193,485.0,333.0,376.0,407.0,433.0,356.0,348.0,-0.3027,0.7119,-0.2974,1.1601,-0.4776,1992,1970,1970,22,22
416752,240000,2013-03-01,present,customer service,Rewari,f,78.0,cbse,70.1,cbse,166,2,B.Tech/B.E.,EC,68.2,166,1.0,Haryana,415,595,495,0.694479327708463,455.0,366.0,407.0,407.0,433.0,356.0,348.0,0.8192,-0.0842,-0.598,-0.6428,-0.6035,1989,1970,1970,19,19
294700,525000,2012-03-01,present,test engineer,Hyderabad,f,89.88,,95.4,,1027,2,B.Tech/B.E.,EC,80.8,1027,1.0,Telangana,555,475,635,0.694479327708463,455.0,366.0,407.0,407.0,433.0,420.0,348.0,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,1989,1970,1970,19,19
1063642,200000,2013-06-01,2014-01-01 00:00:00,project engineer,Gaziabaad,m,63.3,state board,61.1,state,11386,2,B.Tech/B.E.,EC,66.9,11386,1.0,Uttar Pradesh,420,510,665,0.112139438207403,455.0,228.0,407.0,407.0,433.0,356.0,348.0,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,1990,1970,1970,20,20
536053,120000,2009-09-01,2013-04-01 00:00:00,software engineer,Bangalore,m,72.0,cbse,49.0,state,712,2,B.Tech/B.E.,CS,55.0,712,1.0,Karnataka,640,460,250,0.525922584252055,415.0,300.0,407.0,366.0,433.0,356.0,400.0,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,1977,1970,1970,7,7
652717,305000,2013-11-01,present,software engineer,Chennai,f,83.0,state board,79.0,state,9173,2,B.Tech/B.E.,CS,70.0,9173,1.0,Telangana,430,410,310,0.165633091512476,305.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.159,-0.1206,0.1637,1.5404,-0.0943,1991,1970,1970,21,21
940402,300000,2014-10-01,2015-04-01 00:00:00,java developer,Chennai,m,85.3,state board,88.3,state,434,2,B.Tech/B.E.,CS,85.0,434,1.0,Tamil Nadu,370,375,325,0.356536487724475,315.0,333.0,346.0,407.0,433.0,356.0,348.0,1.8517,1.5444,0.3174,0.3995,0.6721,1993,1970,1970,23,23
1218578,145000,2014-06-01,present,engineer,Noida,f,81.0,cbse,77.8,cbse,11942,2,B.Tech/B.E.,EC,65.35,11942,1.0,Uttar Pradesh,535,510,390,0.207392169717661,455.0,260.0,407.0,407.0,433.0,260.0,348.0,-1.1644,-0.9531,0.01,-0.7415,-0.8608,1991,1970,1970,21,21
636871,150000,2014-10-01,2015-04-01 00:00:00,management trainee,Bhiwadi,m,60.66,up,62.4,state,9738,2,B.Tech/B.E.,ME,69.3,9738,1.0,Uttar Pradesh,370,410,470,0.755375120895548,315.0,333.0,407.0,446.0,433.0,356.0,348.0,-2.2351,-2.6847,-2.6028,0.3995,-5.477,1992,1970,1970,22,22
31330,600000,2010-07-01,2012-07-01 00:00:00,java software engineer,Gurgaon,m,78.0,cbse,83.0,cbse,2,1,B.Tech/B.E.,CS,72.13,2,1.0,Delhi,444,555,695,0.999904558268382,804.0,333.0,407.0,407.0,433.0,356.0,348.0,0.6646,0.3448,0.8171,0.6498,0.0284,1986,1970,1970,16,16
1044453,310000,2014-02-01,2014-05-01 00:00:00,system engineer,Mysore,m,89.37,state board,79.0,state,2085,2,B.Tech/B.E.,EC,70.0,2085,1.0,West Bengal,630,580,510,0.338786347219528,455.0,292.0,407.0,407.0,433.0,356.0,348.0,0.99,1.2114,-0.2974,-1.1218,1.247,1990,1970,1970,20,20
125529,455000,2011-01-01,2013-09-01 00:00:00,system engineer,Bangalore,m,90.0,"state board of secondary education, andhra pradesh",94.4,state,1396,2,B.Tech/B.E.,EC,76.12,1396,1.0,Andhra Pradesh,505,525,595,0.124502074009537,615.0,233.0,407.0,407.0,433.0,356.0,348.0,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,1989,1970,1970,19,19
810433,400000,2014-08-01,2015-02-01 00:00:00,test engineer,Bangalore,f,81.0,icse,79.0,icse,64,2,B.Tech/B.E.,EC,71.5,64,1.0,Uttar Pradesh,510,500,575,0.493596387301038,455.0,324.0,407.0,407.0,433.0,356.0,348.0,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,1991,1970,1970,21,21
86373,150000,2010-07-01,2012-01-01 00:00:00,recruitment coordinator,Chennai,f,78.0,matriculation,86.67,state,4173,2,B.Tech/B.E.,EC,77.55,4173,1.0,Tamil Nadu,535,465,535,0.910770164246022,445.0,433.0,407.0,407.0,433.0,356.0,348.0,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295,1989,1970,1970,19,19
1237891,250000,2015-06-01,present,software developer,Mangalore,m,84.4,cbse,73.2,cbse,272,2,B.Tech/B.E.,CS,70.0,272,1.0,Punjab,570,410,535,0.670743151433127,455.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.0154,0.8784,0.01,-0.7415,-0.2859,1993,1970,1970,23,23
801755,320000,2014-03-01,present,system engineer,Chennai,m,89.0,state board,92.0,state,14382,2,B.Tech/B.E.,EL,76.4,14382,1.0,Telangana,625,645,605,0.982057124317279,385.0,388.0,407.0,407.0,606.0,356.0,348.0,-1.4517,-1.4526,-1.2196,1.794,-2.3937,1992,1970,1970,22,22
1089599,250000,2014-05-01,present,java software engineer,Rajkot,m,86.0,gujarat state board,64.0,state,9564,2,B.Tech/B.E.,CS,61.17,9564,1.0,Gujarat,665,545,415,0.911395278391328,405.0,333.0,500.0,407.0,433.0,356.0,348.0,1.1336,1.3779,2.1617,-0.995,1.0554,1990,1970,1970,20,20
1230478,200000,2014-06-01,2015-01-01 00:00:00,technical support engineer,Bangalore,m,85.0,icse,75.0,cbse,319,2,B.Tech/B.E.,CS,60.0,319,1.0,Karnataka,675,480,500,0.842248322257836,425.0,333.0,469.0,407.0,433.0,356.0,348.0,1.1336,1.0449,0.1637,-1.2486,0.0973,1992,1970,1970,22,22
982400,240000,2014-06-01,2015-04-01 00:00:00,android developer,Greater Noida,m,75.0,cbse,64.0,cbse,184,2,B.Tech/B.E.,CS,67.0,184,1.0,Uttar Pradesh,510,480,485,0.649389714846691,455.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.159,0.8784,1.2396,0.2727,-0.6692,1992,1970,1970,22,22
1225896,120000,2015-04-01,2015-08-01 00:00:00,data analyst,Indore,f,86.0,state board,77.0,state,4973,2,B.Tech/B.E.,CS,75.0,4973,1.0,Madhya Pradesh,325,510,295,0.0185409416754305,415.0,333.0,192.0,407.0,433.0,356.0,348.0,0.1282,0.0459,0.1637,0.0192,-0.0943,1991,1970,1970,21,21
1067148,300000,2014-09-01,present,programmer analyst,Bangalore,m,70.6,cbse,78.67,state,182,2,B.Tech/B.E.,EC,75.84,182,1.0,Karnataka,580,485,510,0.0531603052826837,285.0,196.0,407.0,407.0,433.0,356.0,348.0,0.5591,0.2124,-1.2196,-0.7415,-0.8608,1992,1970,1970,22,22
361583,800000,2012-06-01,present,software engineer,Bangalore,m,93.44,karnataka state board,90.0,state,1384,2,B.Tech/B.E.,CS,87.6,1384,1.0,Karnataka,515,475,635,0.942116551485008,575.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.4173,0.9688,-0.1988,-0.2902,0.3049,1991,1970,1970,21,21
754392,120000,2014-07-01,present,test engineer,,m,76.0,state board,72.0,state,8888,2,B.Tech/B.E.,CS,63.2,8888,1.0,Tamil Nadu,510,355,340,0.123016731640823,285.0,333.0,407.0,407.0,433.0,356.0,348.0,-0.159,-0.2871,0.4711,0.2727,-0.4776,1992,1970,1970,22,22
1168608,325000,2014-12-01,2015-04-01 00:00:00,system engineer,Mysore,f,86.4,cbse,78.2,cbse,6982,2,B.Tech/B.E.,EC,73.5,6982,1.0,Karnataka,535,435,440,0.207392169717661,355.0,260.0,530.0,407.0,433.0,356.0,348.0,0.8463,1.3779,1.3933,0.653,-0.2859,1993,1970,1970,23,23
1089852,100000,2013-08-01,2014-05-01 00:00:00,software developer,,f,86.0,state board,95.0,state,4726,2,B.Tech/B.E.,EC,78.6,4726,1.0,Telangana,405,545,450,0.649389714846691,375.0,356.0,407.0,407.0,433.0,356.0,348.0,0.5591,-0.4536,0.01,-0.4879,0.6721,1992,1970,1970,22,22
1098869,300000,2014-08-01,present,assistant software engineer,Bangalore,m,84.83,cbse,82.4,cbse,903,2,B.Tech/B.E.,CS,74.14,903,1.0,Uttar Pradesh,665,595,705,0.744758354008939,505.0,333.0,438.0,407.0,433.0,356.0,348.0,-0.4463,0.2124,0.3174,-1.5021,-0.2859,1992,1970,1970,22,22
